First name,Last name,Mailing Street,Mailing City,Mailing State/Province,Mailing Zip/Postal Code,Mailing Country,Phone,Email
Duncan,Macintosh,1909 Union St,San Francisco,CA,94123,United States,(415) 555-4919,dmacintosh@example.com
Daryl,Distributor,986 Denver Avenue,Riverside,CA,92501,United States,(951) 555-3295,ddistributor@example.com
David,Adelson,660 Sutter St,San Francisco,CA,94102,United States,(650) 555-4645,dadelson@example.com
Mark,Smith,585 Franklin St,Mountain View,CA,94041,United States,(650) 555-5758,msmith@example.com
Mike,Garcia,500 Howard St,San Francisco,CA,94105,United States,(415) 555-6767,mgarcia@example.com
Deanna,Collins,2323 Mission St,San Francisco,CA,94110,United States,(415) 555-8883,dcollins@example.com
Andy,Peterson,100 Larkin Street,San Francisco,CA,94102,United States,(415) 555-3854,apeterson@example.com
Anne,Frost,345 California St,San Francisco,CA,94105,United States,(415) 555-2622,afrost@example.com
Stacy,McNeil,315 E. 14th St.,Davis,CA,95616,United States,(530) 555-2593,smcneil@example.com
Robert,Simpson,250 1st St,Woodland,CA,95695,United States,(530) 555-8725,rsimpson@example.com
Gabe,Hotkins,1750 Oak Park Blvd.,Pleasant Hill,CA,94523,United States,(925) 555-9897,ghotkins@example.com
Lance,Gonzales,1644 N. Broadway,Walnut Creek,CA,94596,United States,(925) 555-8624,lgonzales@example.com
Steve,Sutherland,913 N Broadview Ave,Wichita,KS,67208,United States,(608) 555-3399,ssutherland@example.com
Heath,Axworth,3640 Sacramento St,San Francisco,CA,94118,United States,(415) 555-4142,haxworth@example.com
Mina,Passini,598 Haight St,San Francisco,CA,94117,United States,(415) 555-5561,mpassini@example.com
Karen,Wells,1700 E Bayshore Rd,East Palo Alto,CA,94303,United States,(650) 555-3514,kwells@example.com
Mike,Welch,807 Telegraph Ave,Oakland,CA,94612,United States,(510) 555-2151,mwelch@example.com
Wes,Hardin,5801 College Ave,Oakland,CA,94618,United States,(510) 555-3664,whardin@example.com
